DATE,DSPIC96
7/1/2014,11943.1
8/1/2014,12006.1
9/1/2014,12036.7
10/1/2014,12105.2
11/1/2014,12172
12/1/2014,12231.6
1/1/2015,12271
2/1/2015,12315.9
3/1/2015,12306.1
4/1/2015,12378.7
5/1/2015,12423.1
6/1/2015,12440.8
7/1/2015,12439
8/1/2015,12470.2
9/1/2015,12503.2
10/1/2015,12556
11/1/2015,12556.8
12/1/2015,12570.8
1/1/2016,12563.9
2/1/2016,12555.7
3/1/2016,12583.5
4/1/2016,12611.9
5/1/2016,12626.8
6/1/2016,12643
7/1/2016,12663.5
8/1/2016,12646
9/1/2016,12638.3
10/1/2016,12613.4
11/1/2016,12589.4
12/1/2016,12569.9
1/1/2017,12627.4
2/1/2017,12672.3
3/1/2017,12741.5
4/1/2017,12732.6
5/1/2017,12786.2
6/1/2017,12778.1
7/1/2017,12791.1
8/1/2017,12785.4
9/1/2017,12786.9
10/1/2017,12805.3
11/1/2017,12814.8
12/1/2017,12846.3
