DATE,CSUSHPINSA
3/1/2016,176.705
4/1/2016,178.596
5/1/2016,180.455
6/1/2016,182.051
7/1/2016,183.177
8/1/2016,183.831
9/1/2016,184.132
10/1/2016,184.213
11/1/2016,184.438
12/1/2016,184.629
1/1/2017,184.885
2/1/2017,185.279
3/1/2017,186.797
4/1/2017,188.818
5/1/2017,190.824
6/1/2017,192.569
7/1/2017,193.838
8/1/2017,194.684
9/1/2017,195.155
10/1/2017,195.43
11/1/2017,195.815
12/1/2017,196.216
