DATE,USACPIHOUMINMEI
11/1/2009,99.95402263
12/1/2009,99.7990905
1/1/2010,99.82961329
2/1/2010,99.8500906
3/1/2010,99.87095428
4/1/2010,99.85859062
5/1/2010,99.8848634
6/1/2010,100.0336137
7/1/2010,100.1128184
8/1/2010,100.074182
9/1/2010,100.0428865
10/1/2010,100.0892502
11/1/2010,100.1232503
12/1/2010,100.2298868
1/1/2011,100.4292509
2/1/2011,100.5988649
3/1/2011,100.7769789
4/1/2011,100.8268199
5/1/2011,100.9462065
6/1/2011,101.2185934
7/1/2011,101.516094
8/1/2011,101.6725716
9/1/2011,101.7108217
10/1/2011,101.8908675
11/1/2011,101.9735495
12/1/2011,102.1319589
1/1/2012,102.4097549
2/1/2012,102.6292099
3/1/2012,102.8977332
4/1/2012,103.0615517
5/1/2012,103.2273021
6/1/2012,103.4328479
7/1/2012,103.6167574
8/1/2012,103.7917805
9/1/2012,103.9602354
10/1/2012,104.1924404
11/1/2012,104.2558042
12/1/2012,104.3655317
1/1/2013,104.6661232
2/1/2013,104.9300101
3/1/2013,105.1788288
4/1/2013,105.3233291
5/1/2013,105.5771705
6/1/2013,105.8252165
7/1/2013,106.0392624
8/1/2013,106.2776492
9/1/2013,106.4047631
10/1/2013,106.5535134
11/1/2013,106.7891957
12/1/2013,107.0144462
1/1/2014,107.3621741
2/1/2014,107.6272201
3/1/2014,108.026721
4/1/2014,108.2187441
5/1/2014,108.5564266
6/1/2014,108.7816771
7/1/2014,109.0973368
8/1/2014,109.3206554
9/1/2014,109.5165422
10/1/2014,109.7715427
11/1/2014,109.9512022
12/1/2014,110.0883615
1/1/2015,110.4828396
2/1/2015,110.8093176
3/1/2015,111.2053411
4/1/2015,111.452228
5/1/2015,111.6898421
6/1/2015,112.0588201
7/1/2015,112.5023665
8/1/2015,112.7198897
9/1/2015,113.0119812
10/1/2015,113.2901635
11/1/2015,113.4624821
12/1/2015,113.6440734
1/1/2016,114.0914834
2/1/2016,114.4701205
3/1/2016,114.782303
4/1/2016,115.0458035
5/1/2016,115.4870317
6/1/2016,115.9529872
7/1/2016,116.241215
8/1/2016,116.5769657
9/1/2016,116.9200573
10/1/2016,117.3126036
11/1/2016,117.5328313
12/1/2016,117.7994228
1/1/2017,118.1854008
2/1/2017,118.5447198
3/1/2017,118.7861975
4/1/2017,119.0469935
5/1/2017,119.3711533
6/1/2017,119.7532677
7/1/2017,119.9445181
8/1/2017,120.4487236
9/1/2017,120.7284515
10/1/2017,121.1399296
11/1/2017,121.2794072
12/1/2017,121.6043396
