DATE,ASPNHSUS
1992-01-01,144200
1992-02-01,144800
1992-03-01,144800
1992-04-01,145000
1992-05-01,146000
1992-06-01,146600
1992-07-01,137700
1992-08-01,145300
1992-09-01,142200
1992-10-01,148400
1992-11-01,147200
1992-12-01,146200
1993-01-01,138900
1993-02-01,149400
1993-03-01,146600
1993-04-01,148400
1993-05-01,152300
1993-06-01,145700
1993-07-01,143400
1993-08-01,150600
1993-09-01,150100
1993-10-01,146900
1993-11-01,152500
1993-12-01,146400
1994-01-01,153400
1994-02-01,150700
1994-03-01,152800
1994-04-01,152900
1994-05-01,151800
1994-06-01,158400
1994-07-01,144400
1994-08-01,154900
1994-09-01,157200
1994-10-01,153000
1994-11-01,155400
1994-12-01,159600
1995-01-01,147400
1995-02-01,160200
1995-03-01,153300
1995-04-01,157800
1995-05-01,158000
1995-06-01,160200
1995-07-01,154200
1995-08-01,162000
1995-09-01,155600
1995-10-01,156200
1995-11-01,160700
1995-12-01,165600
1996-01-01,155300
1996-02-01,163700
1996-03-01,162100
1996-04-01,170000
1996-05-01,163300
1996-06-01,166500
1996-07-01,168400
1996-08-01,159700
1996-09-01,167400
1996-10-01,168400
1996-11-01,172000
1996-12-01,171800
1997-01-01,171900
1997-02-01,171100
1997-03-01,172700
1997-04-01,179500
1997-05-01,170700
1997-06-01,179400
1997-07-01,175500
1997-08-01,170700
1997-09-01,177500
1997-10-01,172900
1997-11-01,175400
1997-12-01,175800
1998-01-01,178600
1998-02-01,181600
1998-03-01,178500
1998-04-01,176700
1998-05-01,183500
1998-06-01,175900
1998-07-01,179800
1998-08-01,186500
1998-09-01,182700
1998-10-01,182800
1998-11-01,178600
1998-12-01,183300
1999-01-01,182900
1999-02-01,191400
1999-03-01,189300
1999-04-01,192200
1999-05-01,187900
1999-06-01,193900
1999-07-01,189100
1999-08-01,193100
1999-09-01,194800
1999-10-01,200200
1999-11-01,211500
1999-12-01,202100
2000-01-01,200300
2000-02-01,199200
2000-03-01,204900
2000-04-01,207300
2000-05-01,200000
2000-06-01,197700
2000-07-01,202200
2000-08-01,200200
2000-09-01,208300
2000-10-01,215100
2000-11-01,210700
2000-12-01,208100
2001-01-01,209000
2001-02-01,211000
2001-03-01,210200
2001-04-01,205500
2001-05-01,211400
2001-06-01,211700
2001-07-01,209300
2001-08-01,207500
2001-09-01,203300
2001-10-01,207100
2001-11-01,206900
2001-12-01,228700
2002-01-01,226900
2002-02-01,226500
2002-03-01,227100
2002-04-01,228100
2002-05-01,226500
2002-06-01,225200
2002-07-01,217800
2002-08-01,221300
2002-09-01,215300
2002-10-01,231300
2002-11-01,227100
2002-12-01,237800
2003-01-01,230200
2003-02-01,233400
2003-03-01,231100
2003-04-01,237200
2003-05-01,243700
2003-06-01,239700
2003-07-01,248400
2003-08-01,241000
2003-09-01,254500
2003-10-01,242800
2003-11-01,268300
2003-12-01,253900
